feature,importance
cat__h3_pair_89414368657ffff->89415cb4e3bffff,0.00040849295
cat__h3_pair_89415cb4e3bffff->89414369647ffff,0.000404839
cat__h3_pair_89414368657ffff->89415cb4bc3ffff,0.00040047773
cat__h3_pair_89415cb46afffff->894143682c3ffff,0.00040012243
cat__h3_pair_89415cb4ba3ffff->89415cb4d5bffff,0.00039775108
cat__h3_pair_89415cb687bffff->894143682c3ffff,0.00039766636
cat__h3_pair_89415cb4e43ffff->89415cb4a47ffff,0.00039656815
cat__h3_pair_89415cb687bffff->89414369617ffff,0.00039076668
cat__h3_pair_89415cb4d5bffff->89415cb4987ffff,0.0003851284
cat__h3_pair_89415cb4ba3ffff->89415cb687bffff,0.00038312474
cat__h3_pair_89415cb687bffff->89415cb4b0fffff,0.00038198874
cat__h3_pair_89415cb4987ffff->8941436945bffff,0.00037757272
cat__h3_pair_89415cb5db3ffff->89415cb4cd7ffff,0.00037383265
cat__h3_pair_89415cb4ba3ffff->89415cb4b97ffff,0.0003719997
cat__h3_pair_89415ca640bffff->89415ca7123ffff,0.00037040588
cat__h3_pair_89415cb49afffff->89414369647ffff,0.00036630972
cat__h3_pair_89415cb4e43ffff->89415cb684bffff,0.00036421613
cat__h3_pair_89415cb684bffff->89415cb4987ffff,0.000362477
cat__h3_pair_89415cb4e43ffff->89414369647ffff,0.000359514
cat__origin_h3_89415cb5dc7ffff,0.0003592887
cat__h3_pair_89415cb4e3bffff->89415cb46afffff,0.0003500188
cat__h3_pair_89414369617ffff->89415cb4b97ffff,0.00034577854
cat__h3_pair_89415cb4a47ffff->89415cb4cd7ffff,0.000345668
cat__h3_pair_894143682c3ffff->89415cb5db3ffff,0.00034508732
cat__h3_pair_89414368657ffff->89415cb49afffff,0.00034406106
cat__h3_pair_89415cb4b0fffff->89415cb49afffff,0.0003410251
cat__h3_pair_89415cb4d5bffff->89415cb4e3bffff,0.00034050635
cat__h3_pair_89415cb684bffff->89415cb4cd7ffff,0.0003396653
cat__h3_pair_89414369617ffff->8941436945bffff,0.0003395484
cat__h3_pair_89414369617ffff->89415cb4d5bffff,0.00033600727
cat__h3_pair_89415cb4e3bffff->89415ca7123ffff,0.0003324125
cat__h3_pair_89415ca640bffff->89414369647ffff,0.0003307143
cat__h3_pair_89415cb4193ffff->89415cb4a47ffff,0.0003303605
